,bluetooth_avg_wk_1,bluetooth_avg_wk_2,bluetooth_avg_wk_3,bluetooth_avg_wk_4,bluetooth_avg_wk_5,bluetooth_avg_wk_6,bluetooth_avg_wk_7,bluetooth_avg_wk_8,bluetooth_avg_wk_9,bluetooth_avg_wk_10
u00,6.714285714285714,6.571428571428571,9.714285714285714,11.714285714285714,9.285714285714286,10.428571428571429,9.142857142857142,3.0,14.0,2.0
u01,2.857142857142857,0.8571428571428571,1.4285714285714286,6.0,0.8571428571428571,2.2857142857142856,1.0,1.4285714285714286,11.142857142857142,10.142857142857142
u02,5.571428571428571,3.142857142857143,16.428571428571427,15.0,13.142857142857142,10.857142857142858,15.714285714285714,9.428571428571429,18.0,2.4285714285714284
u03,0.14285714285714285,0.14285714285714285,0.14285714285714285,2.142857142857143,2.2857142857142856,2.7142857142857144,0.7142857142857143,4.285714285714286,0.2857142857142857,
u04,7.285714285714286,7.285714285714286,10.285714285714286,15.857142857142858,7.142857142857143,11.285714285714286,7.571428571428571,12.857142857142858,7.285714285714286,
u05,9.142857142857142,11.571428571428571,13.857142857142858,13.857142857142858,15.285714285714286,13.857142857142858,15.428571428571429,7.857142857142857,23.285714285714285,4.285714285714286
u07,4.857142857142857,1.4285714285714286,5.142857142857143,3.2857142857142856,8.428571428571429,2.857142857142857,4.714285714285714,2.0,,
u08,7.285714285714286,7.714285714285714,7.428571428571429,13.571428571428571,9.714285714285714,15.142857142857142,9.714285714285714,8.428571428571429,18.571428571428573,7.714285714285714
u09,6.714285714285714,4.571428571428571,5.571428571428571,11.0,13.142857142857142,7.285714285714286,5.142857142857143,8.142857142857142,14.285714285714286,0.5714285714285714
u10,13.285714285714286,11.285714285714286,15.714285714285714,14.285714285714286,9.142857142857142,11.0,12.285714285714286,12.714285714285714,18.428571428571427,2.4285714285714284
u12,6.571428571428571,2.857142857142857,6.714285714285714,7.285714285714286,5.857142857142857,6.714285714285714,7.571428571428571,6.285714285714286,7.0,1.2857142857142858
u13,3.7142857142857144,4.142857142857143,6.857142857142857,5.857142857142857,11.857142857142858,8.714285714285714,12.285714285714286,14.0,10.285714285714286,
u14,10.571428571428571,13.857142857142858,11.857142857142858,11.857142857142858,11.428571428571429,14.714285714285714,10.142857142857142,8.857142857142858,8.142857142857142,3.857142857142857
u15,5.857142857142857,9.142857142857142,15.714285714285714,13.714285714285714,16.714285714285715,10.714285714285714,10.571428571428571,8.857142857142858,1.8571428571428572,0.14285714285714285
u16,6.142857142857143,5.571428571428571,8.714285714285714,12.714285714285714,4.285714285714286,12.428571428571429,8.857142857142858,12.142857142857142,8.285714285714286,7.571428571428571
