uid,sleep_max_wk_1,sleep_max_wk_10,sleep_max_wk_2,sleep_max_wk_3,sleep_max_wk_4,sleep_max_wk_5,sleep_max_wk_6,sleep_max_wk_7,sleep_max_wk_8,sleep_max_wk_9,sleep_mean_wk_1,sleep_mean_wk_10,sleep_mean_wk_2,sleep_mean_wk_3,sleep_mean_wk_4,sleep_mean_wk_5,sleep_mean_wk_6,sleep_mean_wk_7,sleep_mean_wk_8,sleep_mean_wk_9,sleep_med_wk_1,sleep_med_wk_10,sleep_med_wk_2,sleep_med_wk_3,sleep_med_wk_4,sleep_med_wk_5,sleep_med_wk_6,sleep_med_wk_7,sleep_med_wk_8,sleep_med_wk_9,sleep_min_wk_1,sleep_min_wk_10,sleep_min_wk_2,sleep_min_wk_3,sleep_min_wk_4,sleep_min_wk_5,sleep_min_wk_6,sleep_min_wk_7,sleep_min_wk_8,sleep_min_wk_9
u00,13.43814431368805,8.456084981520746,12.83995221402465,13.19145729285304,14.15112931280162,10.565270168022794,11.22979406376582,9.669232495685215,11.462280342269956,9.062293777193675,37.31250256268421,19.39234459391108,53.86089695049922,52.96649299030083,64.57549268424651,54.975905689078346,37.53781974495972,45.66774236945316,37.211081353810506,16.39602123165245,6.2726965298144854,1.2746572165140861,7.3122097614697195,7.7070896414742265,8.425200230580119,8.39806381691997,4.811433494112105,6.7556454968535276,4.451120510610818,0,0,0,0.9440999999999999,0.6664778759293648,5.326687758472406,4.285937018368909,1.9819999999999998,3.076856136421574,0,0
u01,16.324331606697324,4.275453707574919,13.173428750338875,17.07758109342162,15.710146080453029,17.735303220740565,21.774786927637695,11.65864468452223,15.575531252214084,18.582791960517838,64.37008623895734,4.642525912896412,49.426161968698416,65.75955856352766,60.13257683269235,78.18594787568192,67.55743794323489,27.12514842728612,54.134004617487406,38.46195427487445,9.872247556957554,0,4.753790471735204,10.01494505549815,6.72343643080166,12.027941698469967,7.621604359353993,1.3221551819751356,9.55836700418422,2.8954165730337076,0,0,0,0.47204999999999997,0.4262876510067114,3.5095087500983912,0,0,1.4784000000000002,0
u02,12.6026236458046,11.55363902293652,12.46660042811834,13.492021784699938,10.309248352183587,10.26163924905645,12.002302360921453,9.428005722891566,11.776412372045991,11.15541235165351,61.05478392313529,25.101383384256472,66.83418079907803,71.32631750440666,52.01738501988269,61.78092762820882,55.41415042838398,53.316712344765705,67.1732728971447,59.4611256496669,9.309925774475673,4.109706639365693,9.876960262654206,10.36730539625724,8.262760134142713,9.031914126706445,9.225370426062296,8.263982333578207,10.213209146341464,9.480816814159292,0,0,5.976745171673819,6.896910583581197,3.7763999999999998,7.16312665520494,1.7027634633764812,4.311203118091121,5.864845705867474,2.8323
u03,12.55502809193023,0,12.76484315946695,12.30703007330031,16.856533098024663,12.93569759219133,14.61953794784264,4.870595789354988,14.125397432253592,1.4074389782126548,53.439585262879845,0,43.02290476327329,48.64426491891017,54.787688932904246,37.41602639346925,35.18745630061562,15.104797423876327,20.330071233710182,1.4074389782126548,8.801435125558223,0,8.955941919400658,7.837395683177311,8.376882253648427,3.842673071480677,0,0.9343999999999999,0,0,0,0,0,0.9049547345548508,0,0,0,0,0,0
u04,13.036515277095038,0,13.457011901484499,16.20295466964417,13.236253487971307,15.076690753176608,13.562859171201659,14.560637999526485,15.055955456806492,9.445927345735528,67.2447809496239,0,83.45628583633327,76.46753044400884,61.436505772218446,87.5864426802475,74.75945596610772,78.07103347541494,61.134888116437665,16.597070444251543,11.061144739585025,0,12.431514440980745,10.94555050304145,10.136994896018257,12.421105791851714,11.118093476552687,9.911083683113713,7.152428817765943,0,0,0,9.91573613213659,4.7732647695879455,0,9.630322008618691,6.363004429572343,7.40590627427829,1.000031558790753,0
u05,13.097055457237854,5.904764399987281,17.134037208938448,17.366765434122218,14.12200229683994,13.061178101050395,18.04071698066842,8.74640989039724,7.972948979611254,11.413008699986458,58.38924558331752,9.778386444365914,70.42303546052777,80.26332590737502,35.28986556274732,71.78464450397456,70.16816600279913,22.37400666251487,17.178184253715568,22.111181246836395,10.608666031704562,0,11.354615879368223,12.983924423849817,1.8691811975550412,11.160165351774495,7.925107360714236,3.5754120480752087,0,1.7556675790803236,0,0,2.6171686946100596,2.4108178079310756,0,3.952517743887299,1.0922252678144755,0,0,0
u07,11.671033568280853,0,11.94484931330095,13.789683401327652,20.385757848829844,21.154089237810762,16.095015957091068,16.977425974863664,1.8687999999999998,0,40.37014098182636,0,64.62325167312453,59.141497705606895,92.9256597537692,96.88706831204921,63.817381137351,58.64413033385562,2.38396801242236,0,4.8907598666666665,0,9.340303619305114,10.234720815876237,13.946650643067423,18.120941641711934,6.870405646992815,3.7375999999999996,0,0,0,0,6.175618692145202,0,5.562492796747238,0,1.8156914238149735,0,0,0
u08,13.104865243157633,4.843283176102735,11.699707395943236,12.914640262640006,10.250424214781333,10.340334674677631,10.755553759851669,10.902867890103494,10.444079962893595,12.961409193348901,57.499413607936084,4.843283176102735,60.368989741690285,67.08422594359563,47.34494256742665,47.962961893040074,48.419155468824194,67.95229642900266,58.00121641976555,56.981344487694656,9.175507285037162,0,8.13145504018197,8.994428626149702,7.088377355002484,6.718601428957924,6.478297486914775,10.176546395711245,8.87841836807765,8.996441212679219,0,0,6.224044345186314,7.695122572800867,3.4230493390223344,4.614482894210682,2.6878554166225554,7.289067615650379,4.948734957564123,1.1833856750979983
u09,14.707895841627396,8.754041636422745,12.04608013756466,16.677518929298447,13.754936404630476,13.761168626582228,13.549035121797285,16.73101153980307,13.675331429159119,11.500358880738665,44.00137663655535,19.049486411955993,51.266033233254056,60.50849200629248,74.7448676610381,57.746176597560584,55.215547015055066,78.72360351449153,62.11169227956397,57.38914304714325,5.082991399376322,1.9411666500492195,6.078768626554682,9.167541875209285,11.01552772806329,10.462803214808046,9.272141624445043,10.916900808711166,9.895366169137269,8.671051041676044,0,0,1.4457049464954213,1.7397304352244372,4.089630441487407,0,0,4.445185150097992,0,4.645939679759635
u10,15.364014749900752,15.58886373990113,16.68166747331862,15.816255774234673,14.8896146646075,19.30722371330405,14.396536430193922,16.49749875303925,12.469879499590283,12.911741584327698,79.85386873078578,34.4089427832711,97.74693529313755,79.03721580419491,70.65748864477195,65.85194594526367,51.18041727153924,56.32597608693655,58.01703743531954,54.014587354807844,13.872895105970414,4.217321239895158,12.924339275497353,11.487755443590007,10.544134432290315,9.375332782071947,5.904754598970081,6.39939529287146,7.0957709481663445,6.586452188604851,0,0,11.879781154034369,8.098699851726964,3.0128236129378427,1.4015999999999997,3.9191437888563465,3.032083947933628,4.843934880231741,3.768883835997625
