uid,locktime_q3_wk_1,locktime_q3_wk_2,locktime_q3_wk_3,locktime_q3_wk_4,locktime_q3_wk_5,locktime_q3_wk_6,locktime_q3_wk_7,locktime_q3_wk_8,locktime_q3_wk_9,locktime_q3_wk_10
u00,10751.25,10827.5,10827.5,10924.25,10880.75,10848.5,10473.0,9785.0,9555.5,6308.0
u01,21632.5,21658.0,21624.0,24227.0,25298.0,23310.0,20985.0,21298.0,15541.25,9186.5
u02,14639.5,14191.5,14451.0,14502.5,14896.0,17611.75,14191.5,14777.5,18333.0,14254.5
u03,24734.5,28016.0,28016.0,24631.0,25801.0,17806.0,16529.5,17806.0,5735.0,
u04,22332.0,22375.5,22700.75,22718.0,23324.0,23942.0,24879.0,25229.0,26646.0,
u05,18138.25,18786.25,19550.75,20192.0,25011.5,22830.5,17359.75,17141.5,17448.5,16834.25
u07,23998.0,24190.0,28388.5,28279.0,29489.0,31740.75,32712.0,12512.5,,
u08,10007.5,10044.5,9948.0,9989.0,9918.0,9761.0,9903.0,9933.0,9989.0,8869.5
u09,23044.5,23621.0,25642.5,26184.0,25706.0,27269.0,26997.75,25684.0,21056.75,13403.0
u10,11184.0,11172.25,11307.5,11296.75,11365.5,11383.75,11544.0,12267.0,14069.75,12588.5
u12,10556.0,10612.5,11482.0,11565.5,11816.0,10566.25,9967.0,10132.0,10360.75,10258.0
u13,12015.0,12015.0,12209.0,12015.0,12246.0,9538.0,12767.0,13889.5,9625.25,16599.0
u14,14811.0,15248.0,15503.0,15989.0,15375.5,14418.5,15248.0,13425.5,9100.5,5016.25
u15,27303.25,29325.25,23275.5,14779.0,25259.75,28906.0,10929.5,8430.5,5090.0,5090.0
u16,12606.25,12596.5,13104.25,14005.0,12746.5,13429.0,15277.0,16518.0,16698.5,13852.0
u17,19954.0,20055.75,20148.0,19703.75,18432.5,20912.0,19647.0,18259.0,16183.5,24087.75
u18,18532.25,18502.0,17960.0,17846.75,17985.5,16386.25,17316.25,23274.5,19760.5,12698.0
u19,16960.75,16613.0,15314.0,15314.0,13583.5,13221.0,9931.5,9048.0,9527.25,9416.25
u20,17123.75,17189.0,17403.75,17065.25,16930.5,17000.0,20768.75,18806.5,28073.0,
u22,14350.75,14450.0,14558.0,14558.0,14693.0,14492.0,14693.0,14603.0,14395.25,10363.5
u23,16036.25,15915.0,15463.0,14375.5,16585.5,14457.25,16021.5,16021.5,18376.0,
u24,15286.5,14184.0,10856.5,12141.0,16235.5,,,,,
u25,15755.0,16097.0,17206.0,21102.75,23106.0,21658.0,20780.0,20780.0,20780.0,25947.0
u27,13938.0,14609.75,13951.0,14491.0,14349.5,18096.25,18459.25,19254.0,19097.5,18793.25
u30,20597.25,21166.0,21686.0,22588.5,25372.5,26647.5,26563.0,27756.0,23930.0,26861.25
u31,9093.5,9383.5,9272.5,9494.5,9761.0,10306.5,10747.0,11032.5,10536.0,6416.0
u32,19590.25,18845.5,18923.0,18923.0,19792.0,20730.0,20125.0,16391.75,14086.0,12303.75
u33,12262.5,11486.5,10844.0,10844.0,13358.0,13182.0,13367.75,14189.0,7821.0,7821.0
u34,16505.0,15981.75,16398.0,15478.5,14574.75,14574.75,14754.5,14895.75,5498.5,5498.5
u35,16283.5,16421.0,16799.5,16558.5,18982.5,19174.0,20007.25,20080.5,17935.0,16696.0
u36,10096.0,10087.25,10137.0,10437.25,10137.0,10234.0,10796.5,10465.5,11062.25,11752.25
u39,15859.0,11900.25,14204.0,16354.5,12053.5,,,,,
u41,21738.5,22380.75,20843.0,20161.0,22244.0,25249.5,15912.75,15723.75,15559.25,20825.75
u42,15884.75,15884.75,16196.0,19252.0,16680.0,21022.5,22848.25,23517.5,21441.0,
u43,16965.25,16965.25,17061.0,17221.25,17900.75,21970.0,24245.25,22225.0,18883.0,9766.5
u44,13531.0,13531.0,14132.25,14361.0,14405.5,14272.0,14606.0,16345.0,23419.0,19665.0
u45,12558.75,12558.75,13063.0,12612.0,12588.0,12612.0,11677.5,12121.75,15564.5,16970.0
u46,11089.25,11163.5,12081.5,13356.5,13563.75,15335.25,15887.0,16062.0,10688.0,
u47,14996.0,12566.5,12582.0,12582.0,14707.0,13358.0,14707.0,13888.0,13647.0,18875.0
u49,9340.5,9310.25,8876.5,8715.0,8884.0,9357.0,9551.5,10411.75,10625.0,9328.0
u50,15729.0,15823.5,15346.5,18664.25,14613.75,8007.0,8007.0,6791.0,5024.75,5024.75
u51,15315.75,15746.0,15756.25,15977.0,17268.0,17115.75,16877.5,17929.0,17957.5,18324.25
u52,10697.25,10647.5,10892.0,11151.0,11477.0,11477.0,12878.75,14051.25,14051.25,10292.5
u53,17342.0,17535.5,17949.0,17565.0,18003.0,18962.0,19496.0,19105.5,19176.0,22009.0
u54,11333.0,10952.5,10345.0,9663.0,8597.0,9185.0,12485.0,11000.5,11000.5,11000.5
u56,20992.0,21379.75,22694.75,23458.0,23239.25,25084.25,24099.0,24099.0,26136.0,24657.5
u57,10450.0,10450.0,10601.0,10711.0,10601.0,10004.75,9513.0,9899.0,10159.0,8423.25
u58,16177.5,17117.75,17091.25,17173.0,17483.0,19002.0,20720.25,20620.25,21983.75,18073.25
u59,14818.0,14880.5,16190.0,14500.5,13509.75,14065.75,15320.5,9617.0,20157.0,22349.0
