,flourishing_scale_raw_class_post,flourishing_scale_raw_post,panas_neg_raw_class_post,panas_neg_raw_post,panas_pos_raw_class_post,panas_pos_raw_post,panas_pos_imp_class_post,panas_pos_imp_post
chargetime_q3_wk_4,0.0,0.0,0.0,0.0,0.0,0.0,-1.9582459817357756e-06,0.0
chargetime_q3_wk_5,0.0,0.0,-3.9952103002968105e-06,0.0,0.0,0.0,0.0,0.0
chargetime_q3_wk_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_q3_wk_7,6.840165490877258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_q3_wk_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_q3_wk_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_q3_wk_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity_stationary_ratio_wk_1,0.0,0.0,0.0,0.0,-0.12860135917174736,0.0,-0.06556700694483836,0.0
activity_stationary_ratio_wk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity_stationary_ratio_wk_3,0.0,0.0,0.0,0.0,-1.3333410609990755,0.0,-1.324709304605699,0.0
activity_stationary_ratio_wk_4,0.0,0.0,0.0,0.0,-1.0848270795680115,0.0,-1.013254880212696,0.0
activity_stationary_ratio_wk_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity_stationary_ratio_wk_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity_stationary_ratio_wk_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity_stationary_ratio_wk_8,0.0,0.0,0.0,0.0,-0.3222771011056465,0.0,-0.2331509126356334,0.0
activity_stationary_ratio_wk_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity_stationary_ratio_wk_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity_running_ratio_wk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity_running_ratio_wk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity_running_ratio_wk_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity_running_ratio_wk_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity_running_ratio_wk_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity_running_ratio_wk_6,0.0,0.0,0.0,0.0,1.1349738575806698,0.0,0.9783654319008651,0.0
activity_running_ratio_wk_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity_running_ratio_wk_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity_running_ratio_wk_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity_running_ratio_wk_10,15.780910446768406,0.0,0.0,0.0,1.0738882372538339,0.0,0.8610489544202824,0.0
audio_silent_ratio_wk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_silent_ratio_wk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_silent_ratio_wk_3,0.0,0.0,2.808745297897566,0.0,0.0,0.0,0.0,0.0
audio_silent_ratio_wk_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_silent_ratio_wk_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_silent_ratio_wk_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_silent_ratio_wk_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_silent_ratio_wk_8,0.0,0.0,0.0,0.0,-0.12357017831717523,0.0,-0.21669319798192915,0.0
audio_silent_ratio_wk_9,0.0,0.0,0.0,0.0,-0.03236532632561664,0.0,-0.04537706627208509,0.0
audio_silent_ratio_wk_10,0.0,0.0,0.0,-0.02972640498189006,0.0,0.0,0.0,0.0
audio_noisy_ratio_wk_1,15.719353400469378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_noisy_ratio_wk_2,0.0,0.0,0.0,0.0,0.045931905112985866,0.0,0.09063120630676282,0.0
audio_noisy_ratio_wk_3,0.0,0.0,0.0,0.0,0.24324640701682773,0.0,0.20866739079733876,0.0
audio_noisy_ratio_wk_4,0.0,0.0,0.0,0.0,1.0086948294454847,0.0,1.0717944839300444,0.0
audio_noisy_ratio_wk_5,0.0,0.0,0.0,0.0,0.0840433092555848,0.0,0.2141159618796897,0.0
audio_noisy_ratio_wk_6,0.0,0.0,0.0,0.0,0.08559017782221559,0.0,0.10736085216046044,0.0
audio_noisy_ratio_wk_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_noisy_ratio_wk_8,0.0,0.0,0.0,0.0,0.012459761895959995,0.0,0.08459900257118344,0.0
audio_noisy_ratio_wk_9,0.0,0.0,0.0,0.0,0.2627003404030335,0.0,0.26507081025676693,0.0
audio_noisy_ratio_wk_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bluetooth_avg_wk_1,0.0,0.0,0.0,0.0,0.012905263220599423,0.0,0.011091640570220903,0.0
bluetooth_avg_wk_2,0.0,0.0,0.0,0.0,0.05597223477244843,0.0,0.05089912880390843,-0.0006777557181390903
bluetooth_avg_wk_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bluetooth_avg_wk_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bluetooth_avg_wk_5,0.0,0.0,0.0,0.0,0.01770244920403489,0.0,0.014544778193229682,0.0
bluetooth_avg_wk_6,0.0,0.0,0.0,0.0,0.010939343402567313,0.0,0.007511453427595829,0.0
bluetooth_avg_wk_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bluetooth_avg_wk_8,0.0,0.0,-0.0869817300444349,0.0,0.007159145106043897,0.0,0.011904688399420158,-0.00016547831720660264
bluetooth_avg_wk_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bluetooth_avg_wk_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conversation_hours_wk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conversation_hours_wk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
