,Rank,CV score (mean),CV score (standard deviation),Target imputation,PCA prop. var.,Imputer strategy,Feature subset,SVM kernel,SVM gamma,SVM degree,SVM C
2441,56,79.63458806706916,80.11298473789489,No Imputation,0.7,most_frequent,wk_10,rbf,0.01,3,1
6587,57,79.63458806706916,80.11298473789489,No Imputation,0.7,most_frequent,wk_10,rbf,0.01,6,1
6606,58,80.17317945948824,80.44994824671959,No Imputation,0.85,most_frequent,wk_10,rbf,0.01,2,1
5351,59,80.17317945948824,80.44994824671959,No Imputation,0.85,most_frequent,wk_10,rbf,0.01,4,1
1650,60,80.17317945948824,80.44994824671959,KNN Imputation,0.85,most_frequent,wk_10,rbf,0.01,6,1
9820,61,80.17317945948824,80.44994824671959,No Imputation,0.85,most_frequent,wk_10,rbf,0.01,5,1
8630,62,80.17317945948824,80.44994824671959,KNN Imputation,0.85,most_frequent,wk_10,rbf,0.01,5,1
1929,63,80.17317945948824,80.44994824671959,No Imputation,0.85,most_frequent,wk_10,rbf,0.01,6,1
405,64,80.17393097755516,78.04721132830602,No Imputation,0.6,most_frequent,all,rbf,0.01,4,100
7742,65,80.17393097755516,78.04721132830602,KNN Imputation,0.6,most_frequent,all,rbf,0.01,2,100
6599,66,80.17393097755516,78.04721132830602,KNN Imputation,0.6,most_frequent,all,rbf,0.01,4,100
6550,67,80.17393097755516,78.04721132830602,No Imputation,0.6,most_frequent,all,rbf,0.01,3,100
9556,68,80.17393097755516,78.04721132830602,KNN Imputation,0.6,most_frequent,all,rbf,0.01,3,100
5432,69,80.25586087639269,80.2635913807543,No Imputation,0.8,most_frequent,wk_10,rbf,0.01,2,1
2309,70,80.25586087639269,80.2635913807543,No Imputation,0.8,most_frequent,wk_10,rbf,0.01,4,1
1253,71,80.25586087639269,80.2635913807543,KNN Imputation,0.8,most_frequent,wk_10,rbf,0.01,3,1
7765,72,80.42106195063225,80.66993309195962,No Imputation,0.9,most_frequent,wk_10,rbf,0.01,5,1
5190,73,80.42106195063225,80.66993309195962,KNN Imputation,0.9,most_frequent,wk_10,rbf,0.01,6,1
1992,74,80.42106195063225,80.66993309195962,No Imputation,0.9,most_frequent,wk_10,rbf,0.01,3,1
7158,75,80.42106195063225,80.66993309195962,KNN Imputation,0.9,most_frequent,wk_10,rbf,0.01,3,1
4707,76,80.42106195063225,80.66993309195962,No Imputation,0.9,most_frequent,wk_10,rbf,0.01,4,1
1486,77,80.42427458223476,80.18988695569429,No Imputation,0.95,most_frequent,wk_10,rbf,0.01,5,1
4368,78,80.42427458223476,80.18988695569429,KNN Imputation,0.95,most_frequent,wk_10,rbf,0.01,2,1
1047,79,80.42427458223476,80.18988695569429,KNN Imputation,0.95,most_frequent,wk_10,rbf,0.01,5,1
7308,80,80.42427458223476,80.18988695569429,No Imputation,0.95,most_frequent,wk_10,rbf,0.01,4,1
5986,81,80.42427458223476,80.18988695569429,KNN Imputation,0.95,most_frequent,wk_10,rbf,0.01,6,1
9052,82,80.4729313982564,79.09721364242556,KNN Imputation,0.95,median,wk_9_10,linear,0.01,3,0.01
7499,83,80.4729313982564,79.09721364242556,KNN Imputation,0.95,median,wk_9_10,linear,1,3,0.01
5465,84,80.4729313982564,79.09721364242556,KNN Imputation,0.95,median,wk_9_10,linear,1,2,0.01
43,85,80.4729313982564,79.09721364242556,KNN Imputation,0.95,median,wk_9_10,linear,100,3,0.01
2037,86,80.4729313982564,79.09721364242556,No Imputation,0.95,median,wk_9_10,linear,10,6,0.01
3867,87,80.4729313982564,79.09721364242556,KNN Imputation,0.95,median,wk_9_10,linear,0.01,5,0.01
1089,88,80.4729313982564,79.09721364242556,KNN Imputation,0.95,median,wk_9_10,linear,0.1,5,0.01
7410,89,80.4729313982564,79.09721364242556,KNN Imputation,0.95,median,wk_9_10,linear,100,6,0.01
7091,90,80.4729313982564,79.09721364242556,KNN Imputation,0.95,median,wk_9_10,linear,0.1,3,0.01
811,91,80.4729313982564,79.09721364242556,KNN Imputation,0.95,median,wk_9_10,linear,100,2,0.01
3991,92,80.4729313982564,79.09721364242556,KNN Imputation,0.95,median,wk_9_10,linear,0.1,6,0.01
7611,93,80.4729313982564,79.09721364242556,No Imputation,0.95,median,wk_9_10,linear,1,4,0.01
9965,94,80.4729313982564,79.09721364242556,No Imputation,0.95,median,wk_9_10,linear,100,4,0.01
8377,95,80.4729313982564,79.09721364242556,KNN Imputation,0.95,median,wk_9_10,linear,0.1,2,0.01
7846,96,80.4729313982564,79.09721364242556,KNN Imputation,0.95,median,wk_9_10,linear,0.01,2,0.01
8700,97,80.4729313982564,79.09721364242556,No Imputation,0.95,median,wk_9_10,linear,0.01,2,0.01
8656,98,80.4729313982564,79.09721364242556,KNN Imputation,0.95,median,wk_9_10,linear,1,4,0.01
2896,99,80.4729313982564,79.09721364242556,No Imputation,0.95,median,wk_9_10,linear,10,4,0.01
1409,100,80.4729313982564,79.09721364242556,KNN Imputation,0.95,median,wk_9_10,linear,1,6,0.01
6157,101,80.4729313982564,79.09721364242556,No Imputation,0.95,median,wk_9_10,linear,1,2,0.01
2283,102,80.4729313982564,79.09721364242556,KNN Imputation,0.95,median,wk_9_10,linear,10,2,0.01
