,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
2353,67,-0.5915939721282133,0.10788093726759827,0.9,mean,wk_10,rbf,1,4,1
891,68,-0.5916296587241181,0.1431796168086497,0.7,most_frequent,wk_10,poly,0.1,3,10
5652,69,-0.5917287754873333,0.11391604102075763,0.7,most_frequent,wk_10,rbf,10,2,1
4221,70,-0.5918887364804626,0.11434111364748462,0.85,most_frequent,wk_10,rbf,100,4,1
1610,71,-0.5920465693495249,0.11143481540556417,0.8,median,wk_10,rbf,10,2,1
1768,72,-0.592327158759202,0.11370031237612238,0.85,median,wk_10,rbf,1,3,1
4925,73,-0.5923777090745724,0.11756409698173728,0.85,median,wk_10,rbf,10,3,1000
4386,74,-0.5924667819302413,0.12639329420007497,0.9,mean,wk_10,rbf,10,5,1
7664,75,-0.5926914762010886,0.12178430353182827,0.95,most_frequent,wk_10,rbf,100,5,1
197,76,-0.5928448872987395,0.1267632966744345,0.95,median,wk_10,rbf,100,5,1
8169,77,-0.5929340200183927,0.20243913050559545,0.95,mean,wk_9_10,rbf,0.1,6,100
4349,78,-0.593457146997868,0.11507723594099623,0.85,median,wk_10,rbf,100,2,100
634,79,-0.5938780673295824,0.11563916821005515,0.85,most_frequent,wk_10,rbf,10,2,1
4783,80,-0.594386783611793,0.13152787892336681,0.6,most_frequent,wk_10,rbf,10,4,10
7172,81,-0.5944008396877221,0.11825558273545693,0.85,median,wk_10,rbf,1,6,10
6895,82,-0.5944145440338963,0.10866420799002202,0.8,median,wk_10,rbf,10,5,100
9010,83,-0.5945555139141978,0.1258655203901197,0.7,mean,wk_10,rbf,100,4,10
442,84,-0.5948612414173221,0.11594828826440234,0.85,mean,wk_10,rbf,100,4,10
1628,85,-0.5951903905271708,0.11299745667429004,0.6,median,wk_10,rbf,100,3,1
4365,86,-0.59539190366055,0.11299451466760002,0.85,mean,wk_10,rbf,100,6,1
2890,87,-0.5955077132522965,0.11612698389368095,0.8,median,wk_10,rbf,10,6,1
5567,88,-0.595733419681441,0.12226665277985117,0.6,mean,wk_10,rbf,10,3,10
6917,89,-0.5957614577670693,0.1065659395991719,0.8,mean,wk_10,rbf,10,6,1
