,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
7184,67,-0.588221376018462,0.2279321449924632,0.7,mean,all,rbf,0.01,3,1000
1095,68,-0.5886359042872227,0.2793717832737771,0.7,median,all,rbf,0.01,6,1000
6332,69,-0.5894575720035894,0.2525937429141819,0.85,most_frequent,all,rbf,0.01,6,1000
308,70,-0.5898587836599459,0.09742576371017334,0.7,mean,wk_9_10,poly,1,6,10
6811,71,-0.5915994556667242,0.17291453309127128,0.7,mean,all,rbf,0.01,2,0.01
9999,72,-0.5916403670876329,0.17399097303908642,0.7,mean,wk_9_10,poly,1,2,1000
2692,73,-0.5916551099742223,0.1411140472018917,0.85,most_frequent,wk_10,poly,0.1,6,1
3131,74,-0.5918272115287704,0.25037772846640527,0.6,mean,all,rbf,0.01,6,100
2647,75,-0.5924093153552652,0.29595625518875457,0.7,median,all,rbf,0.01,2,100
5743,76,-0.5924213487364484,0.24175418727444525,0.9,most_frequent,all,rbf,0.01,2,100
3297,77,-0.5927949830370777,0.16173398152514523,0.95,most_frequent,wk_9_10,poly,100,6,100
7065,78,-0.5931892515554045,0.09428437216863428,0.85,mean,wk_10,poly,100,4,100
5717,79,-0.5934843069256936,0.17786883654058372,0.9,median,wk_10,poly,100,5,0.01
2350,80,-0.5942385958181604,0.22590329851733462,0.7,most_frequent,all,rbf,0.01,3,1
6580,81,-0.5943381647694648,0.233228763584084,0.9,most_frequent,all,rbf,0.01,3,100
7416,82,-0.5952709486856101,0.2163467497561679,0.85,mean,all,rbf,0.01,3,0.01
4139,83,-0.5954085683882511,0.2759443353067735,0.85,most_frequent,all,rbf,0.01,5,10
4531,84,-0.5956490833119996,0.18277340035279013,0.85,mean,all,rbf,0.01,5,1
8680,85,-0.5956797451662471,0.20926210175329127,0.8,median,all,rbf,0.01,4,1
6224,86,-0.5981007667151235,0.0964773812882605,0.85,most_frequent,wk_9_10,poly,0.01,4,1
1465,87,-0.598554160847133,0.23505219903926683,0.7,mean,wk_9_10,poly,100,2,0.01
5508,88,-0.5989094866562614,0.27463824336388737,0.8,most_frequent,all,rbf,0.01,6,1
8942,89,-0.5999302672597174,0.11983547294800477,0.8,mean,all,rbf,0.01,5,0.01
2942,90,-0.60063535029719,0.12427806541929205,0.8,most_frequent,wk_10,rbf,0.1,2,100
1134,91,-0.6011543457983051,0.1316310264661039,0.85,most_frequent,wk_10,rbf,0.1,3,1000
3034,92,-0.6016012275087249,0.06793630675934613,0.8,most_frequent,wk_9_10,poly,100,2,100
6128,93,-0.6018317957385609,0.2201975746009006,0.9,most_frequent,all,rbf,0.01,3,10
1593,94,-0.6018400438184616,0.17530048621773467,0.6,most_frequent,all,rbf,0.01,3,100
2545,95,-0.6020076824250478,0.17755949586817754,0.6,most_frequent,all,rbf,0.01,2,10
2610,96,-0.6024134126476489,0.15995919390920832,0.8,most_frequent,wk_10,rbf,0.1,3,100
2546,97,-0.6024222914084127,0.2120320279463115,0.6,most_frequent,all,rbf,0.01,5,10
1856,98,-0.6038843703151302,0.16992849067910334,0.7,mean,wk_9_10,poly,0.01,4,1000
6308,99,-0.6042607708426179,0.17585939784545007,0.7,mean,wk_9_10,poly,100,2,100
5606,100,-0.6043084260526516,0.12987177351053877,0.85,most_frequent,wk_10,rbf,0.1,5,1000
333,101,-0.6044499582866847,0.29924487787766746,0.7,mean,all,rbf,0.01,4,100
36,102,-0.6046792263298878,0.3350452373879382,0.7,mean,all,rbf,0.01,5,1000
8245,103,-0.6050792647887533,0.22536458806435905,0.7,mean,all,rbf,0.01,6,1000
9537,104,-0.6052086157451022,0.1293785048975211,0.8,most_frequent,wk_10,rbf,0.1,4,10
8788,105,-0.6052519594161583,0.24355757068090655,0.8,median,wk_10,poly,10,5,100
1932,106,-0.605335296550818,0.1214629506639192,0.7,median,wk_9_10,poly,1,6,0.01
6810,107,-0.6059342070208531,0.16456345076293785,0.9,most_frequent,all,rbf,0.01,4,0.01
8534,108,-0.6061832936197373,0.14042544087726913,0.7,mean,all,rbf,0.01,4,0.1
8791,109,-0.6064377999976516,0.18347585759123441,0.85,most_frequent,all,rbf,0.01,2,0.01
9754,110,-0.6073572712121247,0.34700065444624084,0.9,median,wk_10,poly,1,4,100
5652,111,-0.6081747275958022,0.19022247368846176,0.7,most_frequent,all,rbf,0.01,6,1
9531,112,-0.6083422255887564,0.23940486531653557,0.9,most_frequent,all,rbf,0.01,5,10
4663,113,-0.6089633381369005,0.311751555587693,0.7,most_frequent,all,rbf,0.01,4,10
811,114,-0.6091387180380464,0.26193566252708417,0.6,median,all,rbf,0.01,4,10
6474,115,-0.6094339960671171,0.1483881207297996,0.85,most_frequent,wk_10,rbf,0.1,6,10
4258,116,-0.6109961931762232,0.07666945837554372,0.7,most_frequent,wk_9_10,poly,0.01,4,100
8933,117,-0.6112039567927773,0.20701886581475035,0.7,mean,wk_9_10,poly,0.1,2,10
7207,118,-0.611635851494488,0.15517545039712632,0.85,most_frequent,wk_10,rbf,0.1,4,100
4355,119,-0.6116954424745253,0.11718888541382469,0.95,most_frequent,wk_10,rbf,0.1,3,1
8586,120,-0.6118045547364964,0.14466085215442182,0.85,most_frequent,wk_10,rbf,0.1,3,10
6748,121,-0.6119570708245867,0.12297853470361932,0.6,mean,wk_9_10,poly,1,6,1000
9208,122,-0.612452937540916,0.13820686019720654,0.95,most_frequent,all,poly,0.01,4,0.01
6284,123,-0.6126413470001056,0.30113169601493117,0.7,most_frequent,all,rbf,0.01,2,10
4474,124,-0.6128437058377946,0.13500754251220284,0.85,median,wk_10,poly,10,5,1
8181,125,-0.6139082589016851,0.11578643722923701,0.85,most_frequent,wk_10,rbf,0.1,2,100
8725,126,-0.61438509784457,0.2316728484872542,0.95,mean,wk_10,poly,0.01,3,10
9973,127,-0.6144898010170784,0.11674679357882142,0.7,most_frequent,wk_10,poly,0.01,2,1000
8109,128,-0.6145279599561896,0.16514051068040736,0.6,mean,all,rbf,0.01,4,0.01
4882,129,-0.6149049906097649,0.18833533159664959,0.6,most_frequent,all,rbf,0.01,5,100
2254,130,-0.6150427542703876,0.19273009072607336,0.7,mean,all,rbf,0.01,2,100
8762,131,-0.6158286791954724,0.09105602691278843,0.85,median,wk_10,poly,0.01,2,1000
6214,132,-0.6161134583462394,0.08468154177239,0.8,most_frequent,wk_10,poly,0.1,5,100
3798,133,-0.6163217677556853,0.21852596604764363,0.6,mean,wk_9_10,rbf,0.01,4,100
