,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
5566,1814,-0.6933371845458812,0.008249556366667842,0.95,mean,all,rbf,0.1,6,100
8847,1815,-0.6933373413212861,0.06136614772740978,0.6,most_frequent,wk_10,poly,10,5,0.01
1816,1816,-0.6933415972220207,0.007152039838922477,0.9,median,all,rbf,100,3,10
5565,1817,-0.6933432698638381,0.008128785585898152,0.8,median,all,rbf,1,6,1000
4816,1818,-0.6933447613071598,0.008774629042497489,0.7,median,all,rbf,1,6,10
6629,1819,-0.6933516042421489,0.009172949838857879,0.95,median,wk_9_10,rbf,1,2,10
9033,1820,-0.6933526114528489,0.07342642853882321,0.85,median,wk_10,rbf,10,3,0.1
2090,1821,-0.6933539304804067,0.004116740277782205,0.8,median,wk_9_10,rbf,1,4,1
8599,1822,-0.6933542546686472,0.0067240693917390015,0.95,most_frequent,all,rbf,10,4,10
3798,1823,-0.6933553513442073,0.009350731479264617,0.8,most_frequent,wk_9_10,rbf,100,4,1000
7465,1824,-0.6933604125859704,0.010036474337248835,0.8,median,wk_9_10,rbf,10,5,1000
9098,1825,-0.693363838796384,0.007488128520909322,0.95,most_frequent,wk_9_10,rbf,100,4,100
4715,1826,-0.6933652894138073,0.007179580690306603,0.7,most_frequent,all,rbf,10,5,100
6875,1827,-0.6933695512871241,0.008134313189787924,0.95,mean,all,rbf,100,2,10
485,1828,-0.6933715522871517,0.006733031533047591,0.7,most_frequent,all,rbf,100,5,10
1327,1829,-0.6933746734946442,0.01491622252430523,0.95,mean,wk_9_10,rbf,10,4,100
724,1830,-0.6933778652898324,0.009117873950060685,0.8,mean,all,rbf,100,3,100
6212,1831,-0.6933823944675481,0.00403774121427732,0.9,median,wk_9_10,rbf,1,5,1
9042,1832,-0.6933824602400283,0.009118408432164507,0.9,median,all,rbf,100,4,1000
8533,1833,-0.6933859695714238,0.03722113113298483,0.7,median,all,poly,0.01,5,1
7765,1834,-0.6933873916748401,0.006241596522407911,0.7,median,all,rbf,0.1,4,1
7221,1835,-0.6933889911915687,0.0580586495817222,0.7,median,all,linear,10,6,0.01
9020,1836,-0.6933949270911762,0.007494713411072744,0.85,mean,wk_9_10,rbf,1,6,100
7533,1837,-0.6933961417425861,0.0043291394163373865,0.9,mean,all,rbf,100,3,1
4800,1838,-0.6934049204658617,0.007389804750758699,0.7,median,all,rbf,10,5,1000
8621,1839,-0.6934091732683273,0.03699842660085402,0.8,mean,wk_9_10,linear,10,3,10
4943,1840,-0.6934111239606635,0.005816821326735204,0.95,mean,all,rbf,100,4,100
9452,1841,-0.6934144375875636,0.007125293055809963,0.8,mean,all,rbf,10,2,100
9855,1842,-0.6934144973735961,0.004240508806266645,0.85,median,wk_9_10,rbf,100,3,1
6458,1843,-0.6934156569995018,0.006266311217082879,0.7,most_frequent,wk_9_10,rbf,1,3,1
1745,1844,-0.6934162471854985,0.0074042161664759085,0.8,most_frequent,wk_9_10,rbf,10,3,10
1862,1845,-0.6934165340705499,0.008034079710453246,0.85,most_frequent,wk_9_10,rbf,10,5,100
9380,1846,-0.6934204751166841,0.006044097133505659,0.9,most_frequent,wk_9_10,rbf,1,5,1000
5080,1847,-0.693421999938061,0.007289591089828764,0.9,median,wk_9_10,rbf,100,4,100
3911,1848,-0.693422294043524,0.0031852994145597116,0.85,median,wk_9_10,rbf,100,5,1
2729,1849,-0.6934265445564322,0.0075894500243178205,0.95,most_frequent,wk_9_10,rbf,10,2,10
88,1850,-0.6934292422624516,0.008283506541069826,0.8,most_frequent,all,rbf,10,3,10
7799,1851,-0.6934324616499452,0.005287878188071608,0.95,median,all,rbf,0.1,6,100
1430,1852,-0.6934334145262826,0.005159647316789096,0.85,mean,wk_9_10,rbf,100,5,1
9334,1853,-0.6934340053928311,0.0025177864852477614,0.9,median,all,rbf,100,3,1
3042,1854,-0.6934341829507651,0.08805368609640482,0.7,median,all,poly,0.01,3,100
3818,1855,-0.6934345310724392,0.006188423294749322,0.85,most_frequent,all,rbf,0.1,4,1
3385,1856,-0.69344330386256,0.010300828680903701,0.8,most_frequent,all,rbf,100,2,100
