,Rank,CV score (mean),CV score (standard deviation),Target imputation,PCA prop. var.,Imputer strategy,Feature subset,SVM kernel,SVM gamma,SVM degree,SVM C
1710,53,0.5875475430351963,0.13073317583037442,No Imputation,0.95,most_frequent,wk_10,rbf,1,3,1000
7229,54,0.5877630014018802,0.12212551539862351,No Imputation,0.6,most_frequent,wk_10,rbf,100,5,100
8979,55,0.5877936485464675,0.11370238607426493,No Imputation,0.9,median,wk_10,rbf,1,3,1
1038,56,0.5879566052340912,0.11737237285923559,KNN Imputation,0.95,most_frequent,wk_10,poly,100,3,10
5961,57,0.5879736183113022,0.11230068438486664,No Imputation,0.95,most_frequent,wk_10,rbf,100,6,1
7707,58,0.588173063270281,0.12431814620443521,No Imputation,0.85,most_frequent,wk_10,rbf,100,2,1
7009,59,0.5884486713323016,0.11376204346332296,No Imputation,0.6,most_frequent,wk_10,rbf,100,5,1
6986,60,0.5885477826490226,0.1188058915644659,No Imputation,0.85,most_frequent,wk_10,rbf,100,3,10
8361,61,0.5887690239331949,0.14840916535587542,KNN Imputation,0.6,most_frequent,wk_9_10,linear,0.01,6,1000
8205,62,0.5889621181053546,0.1275425931363374,KNN Imputation,0.95,mean,wk_10,poly,10,5,100
4377,63,0.5894059465159575,0.10961813539357596,No Imputation,0.7,most_frequent,wk_10,rbf,100,6,10
9709,64,0.5895484809329304,0.12133916121449137,No Imputation,0.9,mean,wk_10,rbf,100,5,1000
1083,65,0.5901224469931614,0.11444182206220412,No Imputation,0.6,mean,wk_10,rbf,100,4,10
6072,66,0.5904520176958951,0.11606957126859772,No Imputation,0.9,median,wk_10,rbf,10,5,1000
6104,67,0.5904557845443097,0.11881589914301384,No Imputation,0.8,median,wk_10,rbf,1,6,1
4710,68,0.5907595774285712,0.10605688516430489,No Imputation,0.95,mean,wk_10,rbf,100,2,1
6725,69,0.5909239253907806,0.11467415767283143,No Imputation,0.9,median,wk_10,rbf,10,2,1
3436,70,0.5909686882030674,0.1139853774718523,No Imputation,0.95,median,wk_10,rbf,10,5,1
1127,71,0.5910562818639803,0.11472743059162123,No Imputation,0.7,most_frequent,wk_10,rbf,100,4,1
6588,72,0.5914152675479476,0.11796644488350325,No Imputation,0.7,most_frequent,wk_10,rbf,10,6,1000
5343,73,0.5915263969628369,0.11901605459797727,No Imputation,0.8,median,wk_10,rbf,10,5,1
5056,74,0.5915755242756776,0.11150145994829333,No Imputation,0.7,median,wk_10,rbf,10,5,1000
2353,75,0.5915939721282133,0.10788093726759827,No Imputation,0.9,mean,wk_10,rbf,1,4,1
891,76,0.5916296587241181,0.1431796168086497,No Imputation,0.7,most_frequent,wk_10,poly,0.1,3,10
5652,77,0.5917287754873333,0.11391604102075763,No Imputation,0.7,most_frequent,wk_10,rbf,10,2,1
4221,78,0.5918887364804626,0.11434111364748462,No Imputation,0.85,most_frequent,wk_10,rbf,100,4,1
1610,79,0.5920465693495249,0.11143481540556417,No Imputation,0.8,median,wk_10,rbf,10,2,1
1768,80,0.592327158759202,0.11370031237612238,No Imputation,0.85,median,wk_10,rbf,1,3,1
4925,81,0.5923777090745724,0.11756409698173728,No Imputation,0.85,median,wk_10,rbf,10,3,1000
4386,82,0.5924667819302413,0.12639329420007497,No Imputation,0.9,mean,wk_10,rbf,10,5,1
7664,83,0.5926914762010886,0.12178430353182827,No Imputation,0.95,most_frequent,wk_10,rbf,100,5,1
197,84,0.5928448872987395,0.1267632966744345,No Imputation,0.95,median,wk_10,rbf,100,5,1
7989,85,0.5928567167246305,0.14709698987034486,KNN Imputation,0.6,mean,wk_10,rbf,100,3,1
8169,86,0.5929340200183927,0.20243913050559545,No Imputation,0.95,mean,wk_9_10,rbf,0.1,6,100
4349,87,0.593457146997868,0.11507723594099623,No Imputation,0.85,median,wk_10,rbf,100,2,100
634,88,0.5938780673295824,0.11563916821005515,No Imputation,0.85,most_frequent,wk_10,rbf,10,2,1
4783,89,0.594386783611793,0.13152787892336681,No Imputation,0.6,most_frequent,wk_10,rbf,10,4,10
7172,90,0.5944008396877221,0.11825558273545693,No Imputation,0.85,median,wk_10,rbf,1,6,10
6895,91,0.5944145440338963,0.10866420799002202,No Imputation,0.8,median,wk_10,rbf,10,5,100
8860,92,0.5944707431689963,0.20281400680374392,KNN Imputation,0.9,most_frequent,wk_10,poly,100,3,10
9010,93,0.5945555139141978,0.1258655203901197,No Imputation,0.7,mean,wk_10,rbf,100,4,10
442,94,0.5948612414173221,0.11594828826440234,No Imputation,0.85,mean,wk_10,rbf,100,4,10
1628,95,0.5951903905271708,0.11299745667429004,No Imputation,0.6,median,wk_10,rbf,100,3,1
5174,96,0.595192568016506,0.14024229325147528,KNN Imputation,0.6,median,wk_10,rbf,10,6,1
4365,97,0.59539190366055,0.11299451466760002,No Imputation,0.85,mean,wk_10,rbf,100,6,1
2890,98,0.5955077132522965,0.11612698389368095,No Imputation,0.8,median,wk_10,rbf,10,6,1
5567,99,0.595733419681441,0.12226665277985117,No Imputation,0.6,mean,wk_10,rbf,10,3,10
6917,100,0.5957614577670693,0.1065659395991719,No Imputation,0.8,mean,wk_10,rbf,10,6,1
425,101,0.5957931960944683,0.11308759919456025,No Imputation,0.85,most_frequent,wk_10,rbf,100,5,100
6523,102,0.5961506617574974,0.111224150335177,No Imputation,0.8,mean,wk_10,rbf,10,4,100
680,103,0.5962123412866067,0.13109830199762584,No Imputation,0.95,mean,wk_10,rbf,10,4,1
7553,104,0.5963227651710437,0.11810778927165579,No Imputation,0.9,median,wk_10,rbf,100,6,100
8211,105,0.5965507116401114,0.19303949271066764,No Imputation,0.9,mean,wk_9_10,rbf,0.1,6,1
9798,106,0.5965807717387098,0.10751030299308759,No Imputation,0.95,median,wk_10,rbf,1,3,100
4000,107,0.5966423003956348,0.16562777975033677,KNN Imputation,0.85,median,wk_10,linear,1,4,1000
6473,108,0.5968318377220047,0.11033722322943176,No Imputation,0.8,mean,wk_10,rbf,100,5,1000
7518,109,0.5968391605962824,0.1129056606093167,No Imputation,0.8,most_frequent,wk_10,rbf,100,5,1
8747,110,0.596941754853862,0.10357659016104918,No Imputation,0.7,median,wk_10,rbf,100,2,10
7422,111,0.5970032162924286,0.12076594663376054,No Imputation,0.85,most_frequent,wk_10,rbf,10,5,1
8166,112,0.5979363781725446,0.10424234774689776,No Imputation,0.6,most_frequent,wk_10,rbf,100,6,100
8125,113,0.5979498383509789,0.11467519615993794,No Imputation,0.7,mean,wk_10,rbf,10,2,1000
9960,114,0.5983978204036353,0.10442301867293759,No Imputation,0.8,most_frequent,wk_10,rbf,10,3,10
5078,115,0.5984024673508339,0.10606522322223483,No Imputation,0.85,most_frequent,wk_10,rbf,100,2,10
844,116,0.5984450176062471,0.11536598145319979,No Imputation,0.85,median,wk_10,rbf,1,4,1
630,117,0.5984628890859764,0.1098927505320679,No Imputation,0.85,median,wk_10,rbf,1,5,1
8875,118,0.5990291448387915,0.1159275562461299,No Imputation,0.7,most_frequent,wk_10,rbf,10,4,1
8573,119,0.5990533394780523,0.14534948247637133,No Imputation,0.7,median,wk_10,rbf,1,5,1000
6645,120,0.5993270020116562,0.10936778467567104,No Imputation,0.7,mean,wk_10,rbf,10,6,10
6748,121,0.5999168922111279,0.11946606196195077,KNN Imputation,0.85,most_frequent,wk_10,poly,10,6,1
410,122,0.5999487052769636,0.11505227708082794,No Imputation,0.85,most_frequent,wk_10,rbf,100,5,1
9287,123,0.6000538190645153,0.1843037041521329,No Imputation,0.95,mean,wk_9_10,rbf,0.1,3,100
6240,124,0.6007067317029514,0.09707036343699411,No Imputation,0.7,most_frequent,wk_10,poly,0.1,5,1
644,125,0.6007153434381649,0.09786869920863366,No Imputation,0.8,median,wk_10,rbf,10,6,100
5242,126,0.6007645063668143,0.09682732890039493,No Imputation,0.85,median,wk_10,rbf,1,4,10
3672,127,0.6008043537517131,0.10902049506659624,No Imputation,0.7,mean,wk_10,rbf,10,6,1000
6049,128,0.6009643272164592,0.10474134524236839,No Imputation,0.8,median,wk_10,rbf,10,4,100
2999,129,0.6009898466866475,0.12057014125177888,No Imputation,0.7,median,wk_10,rbf,100,3,1000
1408,130,0.6010608818420762,0.12310894155453089,KNN Imputation,0.8,median,wk_10,rbf,100,3,10
3342,131,0.6011208255478322,0.09991917576885292,No Imputation,0.9,mean,wk_10,rbf,10,6,1
4784,132,0.6011390196243351,0.13972578211467787,KNN Imputation,0.85,median,wk_10,rbf,1,3,1
2651,133,0.6012478772216582,0.12746428655188557,No Imputation,0.95,most_frequent,wk_10,rbf,1,3,1
9195,134,0.6013074539655527,0.13561131048328348,No Imputation,0.9,median,wk_10,rbf,100,4,100
352,135,0.6013269803461441,0.12004546471909401,No Imputation,0.6,most_frequent,wk_10,rbf,10,2,10
3237,136,0.6019172167749509,0.10650184254094036,No Imputation,0.95,most_frequent,wk_10,rbf,100,3,1
4120,137,0.6023140698312068,0.10557668972639546,No Imputation,0.6,median,wk_10,rbf,10,3,100
8651,138,0.602327242761244,0.10482557838324476,No Imputation,0.95,most_frequent,wk_10,rbf,10,4,1
349,139,0.6026955715816025,0.1405180244010569,No Imputation,0.85,most_frequent,wk_10,rbf,1,3,1
5422,140,0.6030992122014511,0.11571233734482665,No Imputation,0.8,median,wk_10,rbf,1,3,100
7041,141,0.6034761848077113,0.12570949188295485,No Imputation,0.6,mean,wk_10,rbf,10,3,100
6724,142,0.6034792446714408,0.1034906039223659,No Imputation,0.95,most_frequent,wk_10,rbf,1,2,1
1652,143,0.6036936202041263,0.10504100290694839,No Imputation,0.9,mean,wk_10,rbf,100,2,1000
9611,144,0.6037676844420836,0.11467528553413371,No Imputation,0.95,mean,wk_10,rbf,100,2,100
4769,145,0.6037947409636174,0.20272746954667367,No Imputation,0.95,mean,wk_9_10,rbf,0.1,2,1000
4708,146,0.6038551057305305,0.13111995003469223,No Imputation,0.8,mean,wk_10,rbf,1,6,100
9523,147,0.6039023138540085,0.11943531843373809,No Imputation,0.6,mean,wk_10,rbf,10,6,10
4258,148,0.6039779144503398,0.10831610191609577,No Imputation,0.95,median,wk_10,rbf,10,3,100
3413,149,0.6040641591664573,0.12274046879816929,KNN Imputation,0.95,most_frequent,wk_10,rbf,10,4,10
8336,150,0.6042613827806,0.11386359828505942,No Imputation,0.95,median,wk_10,rbf,10,6,1
9356,151,0.6042913834681316,0.2133867865590471,No Imputation,0.8,mean,wk_9_10,rbf,0.1,4,100
5415,152,0.6043629101922944,0.13724313335226065,No Imputation,0.9,most_frequent,wk_10,rbf,1,2,100
7655,153,0.604398646595367,0.12081306044614389,No Imputation,0.8,mean,wk_10,rbf,100,6,10
5325,154,0.6045649495955434,0.10617385460852118,No Imputation,0.85,median,wk_10,rbf,100,5,10
2193,155,0.6045811456161566,0.11386608607024994,No Imputation,0.9,most_frequent,wk_10,rbf,100,5,10
6334,156,0.6046050125786289,0.10178971600282773,KNN Imputation,0.9,mean,wk_9_10,poly,10,4,100
9286,157,0.6050217468474204,0.10367199331667469,No Imputation,0.95,median,wk_10,rbf,100,4,1
9439,158,0.6051163089928444,0.12319189652597216,KNN Imputation,0.95,most_frequent,wk_10,rbf,100,5,1
8760,159,0.6055434925043823,0.2507958141927292,No Imputation,0.9,mean,wk_9_10,rbf,0.1,5,1000
4162,160,0.6056321176636338,0.09216563856352307,No Imputation,0.8,most_frequent,wk_10,rbf,10,6,100
3885,161,0.6056704078732299,0.11758981861719861,No Imputation,0.85,median,wk_10,rbf,100,5,1
4371,162,0.6058133144336728,0.1025846396650032,No Imputation,0.6,most_frequent,wk_10,rbf,100,3,1
4177,163,0.6060064984304023,0.10898588304392155,No Imputation,0.95,mean,wk_10,rbf,100,4,1
8589,164,0.6061385909191648,0.09430078719756126,No Imputation,0.9,median,wk_10,rbf,100,2,10
3065,165,0.6061428477669581,0.1141885383725387,No Imputation,0.7,most_frequent,wk_10,rbf,10,3,1
9833,166,0.6063138762282604,0.10716250079659322,No Imputation,0.9,most_frequent,wk_10,rbf,10,3,100
5022,167,0.6063411743782712,0.2050971992859823,KNN Imputation,0.85,median,wk_10,linear,1,5,100
9753,168,0.6066727460976369,0.12117913899037437,No Imputation,0.7,most_frequent,wk_10,rbf,100,6,100
5764,169,0.6068318014265552,0.10831633910539686,No Imputation,0.6,median,wk_10,rbf,10,5,1
8671,170,0.6068784009317845,0.13211550259669205,No Imputation,0.8,median,wk_10,rbf,10,2,1000
2819,171,0.6069509338217701,0.11145707112695587,KNN Imputation,0.6,mean,wk_10,rbf,10,3,1000
8619,172,0.6071877909588052,0.08800972200145436,No Imputation,0.7,most_frequent,wk_10,poly,0.1,5,0.1
5898,173,0.6071891126793658,0.09051866391128321,No Imputation,0.8,most_frequent,wk_10,rbf,100,5,10
6722,174,0.6074254214350577,0.13654851602132262,KNN Imputation,0.8,mean,wk_10,rbf,1,5,1
6470,175,0.607469770079767,0.14395743720600818,KNN Imputation,0.8,median,wk_10,poly,1,3,10
1890,176,0.6077009729150323,0.1201825046790843,No Imputation,0.6,mean,wk_10,rbf,10,3,1
9347,177,0.6077684397137848,0.11169041366011513,No Imputation,0.8,mean,wk_10,rbf,100,2,1000
2958,178,0.6077732538677931,0.12600264433775335,KNN Imputation,0.85,most_frequent,wk_10,rbf,100,2,1
2342,179,0.6080465558049145,0.0977552767404475,No Imputation,0.9,median,wk_10,rbf,1,3,1000
3481,180,0.6082350523619566,0.08860440731487562,KNN Imputation,0.7,median,wk_10,poly,100,5,100
5685,181,0.6083613498582439,0.10499289141707598,No Imputation,0.9,median,wk_10,rbf,1,3,10
6201,182,0.6085079225608442,0.14404440010311198,No Imputation,0.9,most_frequent,wk_10,rbf,100,3,100
386,183,0.6086819317333253,0.12080142238644602,KNN Imputation,0.9,mean,wk_10,rbf,10,3,100
6160,184,0.6088723574912598,0.12364810172036628,KNN Imputation,0.6,median,wk_10,poly,1,3,1
