,Rank,CV score (mean),CV score (standard deviation),Target imputation,PCA prop. var.,Imputer strategy,Feature subset,SVM kernel,SVM gamma,SVM degree,SVM C
9341,4573,56.49517666392636,24.94923518922337,KNN Imputation,0.7,median,wk_10,rbf,10,3,10
7796,4574,56.49517666392636,24.94923518922337,KNN Imputation,0.7,median,wk_10,rbf,10,6,10
1555,4575,56.49517666392636,24.94923518922337,KNN Imputation,0.7,median,wk_10,rbf,10,2,10
526,4576,56.49525377111454,24.94930747478914,KNN Imputation,0.6,most_frequent,wk_10,rbf,100,5,10
5447,4577,56.4952537785442,24.949307481650255,KNN Imputation,0.95,most_frequent,wk_10,rbf,10,3,10
2907,4578,56.4952537785442,24.949307481650255,KNN Imputation,0.95,most_frequent,wk_10,rbf,10,4,10
201,4579,56.49525378072413,24.949307483808973,KNN Imputation,0.8,mean,wk_10,rbf,10,4,10
2320,4580,56.49525378072413,24.949307483808973,KNN Imputation,0.8,mean,wk_10,rbf,10,5,10
5928,4581,56.49525378072419,24.949307483809005,KNN Imputation,0.85,mean,wk_10,rbf,10,5,10
5526,4582,56.49525378072419,24.949307483808997,KNN Imputation,0.9,median,wk_10,rbf,10,3,10
3474,4583,56.49525378072419,24.949307483808997,KNN Imputation,0.9,median,wk_10,rbf,10,2,10
9379,4584,56.49525378072419,24.949307483808997,KNN Imputation,0.9,median,wk_10,rbf,10,6,10
6899,4585,56.49525378072419,24.949307483809005,KNN Imputation,0.85,mean,wk_10,rbf,10,4,10
6099,4586,56.49525378072419,24.949307483808997,KNN Imputation,0.9,median,wk_10,rbf,10,4,10
8896,4587,56.49525378072421,24.949307483809015,KNN Imputation,0.85,most_frequent,wk_10,rbf,100,5,10
4124,4588,56.49525378072421,24.949307483809015,KNN Imputation,0.8,most_frequent,wk_10,rbf,100,2,10
7060,4589,56.49525378072421,24.949307483809015,KNN Imputation,0.9,mean,wk_10,rbf,10,6,10
67,4590,56.49525378072421,24.949307483809015,KNN Imputation,0.8,median,wk_10,rbf,100,2,10
4202,4591,56.49525378072421,24.949307483809015,KNN Imputation,0.7,most_frequent,wk_10,rbf,100,4,10
3264,4592,56.49525378072421,24.949307483809015,KNN Imputation,0.95,mean,wk_10,rbf,10,2,10
8401,4593,56.49525378072421,24.949307483809015,KNN Imputation,0.7,median,wk_10,rbf,100,6,10
8237,4594,56.49525378072421,24.949307483809015,KNN Imputation,0.95,median,wk_10,rbf,10,5,10
62,4595,56.49525378072421,24.949307483809015,KNN Imputation,0.85,mean,wk_10,rbf,100,2,10
3028,4596,56.49525378072421,24.949307483809015,KNN Imputation,0.9,most_frequent,wk_10,rbf,100,6,10
4261,4597,56.49525378072421,24.949307483809015,KNN Imputation,0.7,mean,wk_10,rbf,100,5,10
