,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
5153,8522,-1.4645616650826805,2.3112714736633495,0.6,median,wk_10,linear,1,5,100
8067,8523,-1.4645862539204721,2.2327070959640136,0.95,median,wk_9_10,linear,0.1,6,1
4383,8524,-1.4646374622829033,2.279732085812835,0.8,median,wk_9_10,poly,100,2,10
441,8525,-1.464656580443976,2.2798032232932623,0.8,median,all,poly,0.01,4,1000
393,8526,-1.4646940013696628,2.3121487403380296,0.6,most_frequent,wk_9_10,poly,1,3,0.01
325,8527,-1.4647062511112388,2.360705941178748,0.85,most_frequent,all,linear,0.01,4,0.1
7995,8528,-1.4647349475421407,2.2855557308070713,0.6,most_frequent,wk_9_10,poly,0.01,4,100
9004,8529,-1.4647376036598256,2.2689277009375552,0.7,median,all,poly,0.01,5,1000
1758,8530,-1.4648582072037457,2.260554503037727,0.7,median,all,poly,100,3,0.01
3263,8531,-1.4649545115238773,2.3510208869496205,0.8,median,all,linear,1,2,0.01
4225,8532,-1.4650159362439255,2.276002878758892,0.85,most_frequent,all,poly,0.1,5,0.01
7039,8533,-1.4650324135371786,2.2782118555971267,0.85,mean,all,poly,1,6,100
4849,8534,-1.4650557701531441,2.318013657346926,0.85,most_frequent,all,linear,0.1,6,1000
9742,8535,-1.4650952543811733,2.2719329373475086,0.7,mean,wk_9_10,poly,1,6,1
8824,8536,-1.465139989694582,2.274240222013629,0.7,mean,wk_9_10,poly,100,2,100
6112,8537,-1.4651783986458278,2.33210321318544,0.6,most_frequent,all,linear,0.1,2,0.1
4377,8538,-1.4651968283509458,2.352732027860773,0.9,most_frequent,all,linear,0.01,6,0.01
5468,8539,-1.4652497307296062,2.3957787671213837,0.7,median,wk_9_10,linear,0.01,5,0.01
3136,8540,-1.4652555463498025,2.3373948271064013,0.85,median,all,linear,100,4,10
6336,8541,-1.4653501108427407,2.3370787161249953,0.6,median,wk_10,linear,0.1,4,100
324,8542,-1.4653728729215203,2.3609354821849777,0.7,most_frequent,wk_10,linear,1,6,10
1045,8543,-1.4654632098174885,2.3338919635325452,0.8,most_frequent,all,poly,1,3,0.1
2425,8544,-1.4655583285801916,2.465307606678302,0.9,median,wk_10,linear,10,3,0.01
1128,8545,-1.4655700702273222,2.231100592546492,0.95,median,wk_9_10,linear,10,2,10
3288,8546,-1.4655845496033133,2.2787208400925243,0.8,most_frequent,all,poly,0.1,4,0.1
2228,8547,-1.4657209274371625,2.278234559011783,0.85,most_frequent,all,poly,1,5,1000
8299,8548,-1.4658345052659503,2.3490479683748884,0.85,median,wk_9_10,linear,0.01,6,0.01
876,8549,-1.4660075282615552,2.2485706634975826,0.7,median,all,poly,0.01,3,1000
9662,8550,-1.466042336205502,2.4127899243977926,0.85,most_frequent,wk_10,linear,10,5,0.01
2447,8551,-1.4660672128105032,2.2881548323186407,0.9,mean,wk_9_10,linear,0.1,2,10
7743,8552,-1.466194738736199,2.2817722107038114,0.9,mean,wk_9_10,linear,10,3,1
7931,8553,-1.4662336794285076,2.304699229084553,0.95,mean,wk_10,poly,1,5,10
3439,8554,-1.4663996228968716,2.284811324079218,0.95,most_frequent,wk_10,poly,100,5,1000
6366,8555,-1.4665105727367265,2.278526561633668,0.7,mean,wk_9_10,poly,100,2,1000
8358,8556,-1.466586174045767,2.284578716483494,0.9,mean,all,poly,100,2,0.1
1817,8557,-1.4666807355801834,2.384931145842093,0.9,most_frequent,all,linear,1,3,0.01
601,8558,-1.466716050048006,2.284301785183391,0.85,mean,wk_10,poly,0.1,5,0.01
5134,8559,-1.466769097431333,2.2741664321048223,0.7,mean,wk_9_10,poly,1,2,1000
3184,8560,-1.4668234338091377,2.57358156093151,0.85,median,wk_10,linear,10,6,0.01
5823,8561,-1.4668250544088304,2.2751916500496328,0.7,mean,all,poly,1,5,1
2368,8562,-1.4669376995642938,1.9107554181177142,0.85,mean,wk_10,linear,10,6,1
5744,8563,-1.4670793959171218,2.3144469427657657,0.6,most_frequent,all,linear,0.1,3,10
6683,8564,-1.467206796853419,2.302391596074052,0.9,mean,all,poly,0.1,3,0.01
2577,8565,-1.467216218037869,2.2765205190032445,0.9,mean,wk_10,poly,100,6,1000
9266,8566,-1.467262954905388,2.2772097842259975,0.7,median,all,poly,0.1,5,10
6845,8567,-1.4672943993986678,2.336244543315416,0.6,mean,wk_10,poly,100,2,1
2037,8568,-1.467330974545057,2.299192489466688,0.9,mean,all,linear,100,2,0.01
2177,8569,-1.4674046736171713,2.375147751164376,0.7,most_frequent,wk_10,linear,0.1,6,10
2911,8570,-1.4674271853935088,2.2855039340821737,0.6,mean,wk_10,poly,10,2,0.1
4503,8571,-1.4674700808026182,2.271098397592852,0.6,mean,wk_9_10,poly,100,4,1000
6819,8572,-1.4674728282341007,2.297308089602143,0.85,median,wk_10,poly,1,4,0.1
7710,8573,-1.4674973659412665,2.322710109205388,0.85,most_frequent,all,linear,10,6,1
4866,8574,-1.4675842506033203,2.3866544297917898,0.85,most_frequent,wk_10,linear,10,5,0.1
2783,8575,-1.4676171243505092,2.463280564466531,0.9,most_frequent,wk_9_10,linear,10,6,0.01
8985,8576,-1.4676604923771228,2.3937811060419554,0.9,most_frequent,all,linear,100,4,0.01
6419,8577,-1.4676611105800768,2.3129415387441425,0.95,median,wk_10,poly,1,5,1000
428,8578,-1.4676820834601423,2.323923688434061,0.8,mean,all,poly,10,2,10
8742,8579,-1.4677162423349521,2.356938191618644,0.85,median,all,poly,0.1,3,1
3162,8580,-1.4677680001347688,2.2697423107157535,0.8,mean,wk_9_10,poly,1,4,100
8006,8581,-1.4677759236384322,2.259707666766588,0.95,mean,wk_10,linear,100,4,0.1
7127,8582,-1.467805955223787,2.310393859117486,0.95,mean,wk_10,poly,0.1,5,100
2001,8583,-1.4678609220287182,2.3551638594884814,0.6,most_frequent,all,linear,0.01,6,0.1
2153,8584,-1.4679372400877202,2.3757031344513173,0.95,median,wk_9_10,linear,100,6,0.01
4037,8585,-1.4680517083318798,2.30121482491748,0.6,mean,wk_10,linear,0.1,3,100
8475,8586,-1.468118890555889,2.296069052102117,0.7,most_frequent,all,poly,0.01,2,1
9577,8587,-1.4681686465777442,2.279066438625164,0.8,most_frequent,all,poly,10,4,0.01
444,8588,-1.4681953284935136,2.4037686358540706,0.6,median,wk_10,linear,0.01,2,0.01
2007,8589,-1.4682784623440892,2.2768104117586616,0.9,median,wk_9_10,poly,10,2,100
3109,8590,-1.4685118460599293,2.299284915317262,0.6,mean,wk_10,linear,1,3,100
5327,8591,-1.4686701794970753,2.3055028580160077,0.9,median,all,poly,100,3,1000
8376,8592,-1.4687174472576527,2.2812236130663175,0.95,mean,all,poly,100,2,10
2692,8593,-1.4687493570099315,2.2791149292633492,0.9,mean,all,poly,0.01,6,100
9688,8594,-1.4687956585948165,2.2749719135245208,0.9,median,all,poly,100,4,0.01
1465,8595,-1.4688231999355015,2.384066456638932,0.6,median,wk_10,linear,1,6,0.01
6099,8596,-1.4688287986454138,2.311858789975067,0.85,mean,all,linear,100,5,0.01
8649,8597,-1.4688912486682941,2.2773038147108737,0.7,mean,wk_9_10,poly,0.1,4,0.1
2365,8598,-1.4690615656794257,2.2736960905823755,0.7,mean,wk_9_10,poly,1,2,0.01
4777,8599,-1.4691081778364397,2.2861132327709446,0.9,most_frequent,all,poly,0.01,2,1
7757,8600,-1.4691818061527768,2.317096134918907,0.85,median,all,linear,100,5,100
6026,8601,-1.469362627746797,2.3007634416036518,0.9,median,wk_10,poly,0.1,6,0.01
4466,8602,-1.4693786460917166,2.2813801434886547,0.8,mean,wk_9_10,poly,1,2,1
4875,8603,-1.4694269753791396,2.3261490264400275,0.85,mean,wk_10,linear,0.01,5,0.1
5288,8604,-1.469631756151458,2.523891932962468,0.9,most_frequent,wk_9_10,linear,0.1,6,0.01
4844,8605,-1.4696990675667911,2.3604105936011073,0.6,most_frequent,all,linear,100,5,10
470,8606,-1.4697391731899132,2.3042909938274785,0.9,mean,all,linear,10,4,0.01
7585,8607,-1.4698615689694614,2.472026241208991,0.9,most_frequent,wk_9_10,linear,0.01,6,0.01
730,8608,-1.4699468276088896,2.506832570164589,0.8,median,wk_10,linear,1,2,0.01
2025,8609,-1.4699707129327446,2.313587150348955,0.85,most_frequent,all,linear,10,6,0.01
2738,8610,-1.4699950773212165,2.2845365577730434,0.8,most_frequent,all,poly,10,3,0.1
1590,8611,-1.4700012621743208,2.284132394721041,0.6,mean,wk_10,poly,0.1,4,0.01
6272,8612,-1.4700818952023202,2.385056866742188,0.7,median,wk_9_10,linear,1,4,0.01
7577,8613,-1.4702019790947518,2.2797734421933513,0.95,most_frequent,all,poly,1,5,0.1
2434,8614,-1.470202753957448,2.279608798361778,0.6,median,all,poly,0.01,3,10
6491,8615,-1.4703194432002173,2.3543590735089257,0.85,most_frequent,wk_10,linear,1,3,0.1
2342,8616,-1.4704040637719404,2.366092901219426,0.7,median,wk_9_10,linear,0.01,3,0.01
8799,8617,-1.4705644199602699,2.26815179677515,0.9,median,wk_9_10,linear,0.01,6,10
7990,8618,-1.4706539674509216,2.3079860413365383,0.9,median,all,poly,10,3,1000
6577,8619,-1.4708533001944957,2.2771957678742205,0.95,mean,wk_10,linear,100,4,1
1146,8620,-1.47087752213999,2.2765829492044936,0.8,median,all,poly,0.1,6,0.1
3544,8621,-1.4709889392107545,2.284913300048771,0.85,mean,wk_9_10,poly,10,2,1000
3973,8622,-1.4710827567083435,2.2725323236354735,0.85,median,all,poly,100,6,10
2265,8623,-1.4714235380086518,2.329418202619319,0.8,median,all,poly,1,2,1
4980,8624,-1.4714712468839992,2.356980518340458,0.95,median,all,linear,100,5,0.01
6305,8625,-1.4716199906495322,2.367516430406762,0.95,median,wk_10,linear,0.01,5,0.01
1761,8626,-1.4716372922222474,2.2719731899509474,0.85,mean,wk_9_10,linear,0.01,5,100
2106,8627,-1.4716565393273713,2.282455471796986,0.85,median,all,poly,10,2,10
4788,8628,-1.4716803066567048,2.2822557676616824,0.85,median,wk_9_10,poly,1,2,100
7436,8629,-1.4717409726284936,2.2878976976264114,0.7,most_frequent,all,poly,100,3,0.01
192,8630,-1.4717557019798992,2.4137812550647038,0.6,most_frequent,all,linear,1,5,100
7698,8631,-1.471792645203841,2.3261997821061313,0.85,mean,wk_10,linear,0.1,5,0.01
813,8632,-1.4718576663787424,2.3136534257584045,0.85,most_frequent,all,linear,100,3,0.01
3320,8633,-1.4720095488222202,2.5230831340578606,0.95,most_frequent,wk_9_10,linear,0.1,5,0.01
5821,8634,-1.4720632129364242,2.3587349628734846,0.95,median,wk_9_10,linear,0.1,2,0.01
4460,8635,-1.4721569585702703,2.459462390623605,0.8,most_frequent,wk_9_10,linear,100,2,0.01
8524,8636,-1.4721619074129648,2.3534763515389687,0.8,median,all,linear,0.1,5,0.01
